ProjectID,ProjectName,Region,PM,StartDate,EndDate,Budget,ActualSpend,Variance,PercentSpent,ScheduleStatus,RiskLevel
PRJ-001,Core Banking Migration,Singapore,S. Iyer,2025-04-12 00:00:00,2025-07-12 00:00:00,154000,173200,-19200,1.1246753246753247,Green,Medium
PRJ-002,Claims Automation,United States,A. Mehta,2025-01-23 00:00:00,2025-10-23 00:00:00,508000,304200,203800,0.5988188976377953,Green,Low
PRJ-003,Data Warehouse Modernization,United Kingdom,K. Padilla,2025-05-30 00:00:00,2025-08-30 00:00:00,670000,643100,26900,0.9598507462686567,Green,Low
PRJ-004,Customer Portal Revamp,Germany,J. Ncube,2025-04-18 00:00:00,2025-09-18 00:00:00,633000,400300,232700,0.6323854660347551,Green,Medium
PRJ-005,Regulatory Reporting Upgrade,Germany,R. Fernandes,2025-05-29 00:00:00,2025-11-29 00:00:00,461000,285000,176000,0.6182212581344902,Amber,Medium
PRJ-006,ERP Rollout,United States,M. Choudhury,2025-05-17 00:00:00,2026-02-17 00:00:00,875000,673700,201300,0.7699428571428572,Amber,Medium
PRJ-007,Payments Platform Refresh,Brazil,K. Padilla,2025-02-16 00:00:00,2025-08-16 00:00:00,163000,155200,7800,0.9521472392638037,Green,High
PRJ-008,HR System Consolidation,South Africa,J. Ncube,2025-01-19 00:00:00,2025-05-19 00:00:00,604000,509000,95000,0.8427152317880795,Amber,Low
PRJ-009,Cloud Cost Optimization,South Africa,P. Osei,2025-01-11 00:00:00,2025-05-11 00:00:00,862000,810800,51200,0.9406032482598607,Amber,Medium
PRJ-010,Fraud Detection Enhancement,Singapore,L. Duarte,2025-05-08 00:00:00,2026-03-08 00:00:00,150000,170700,-20700,1.138,Red,Medium
PRJ-011,Supply Chain Visibility,United Kingdom,A. Mehta,2025-03-21 00:00:00,2026-01-21 00:00:00,371000,390200,-19200,1.0517520215633422,Red,Low
PRJ-012,Digital Onboarding,South Africa,L. Duarte,2025-02-13 00:00:00,2025-06-13 00:00:00,585000,345900,239100,0.5912820512820512,Amber,Low
PRJ-013,Master Data Governance,United States,P. Osei,2025-04-11 00:00:00,2026-02-11 00:00:00,162000,108000,54000,0.6666666666666666,Green,Low
PRJ-014,Network Resilience Program,Germany,P. Osei,2025-05-21 00:00:00,2025-12-21 00:00:00,803000,675100,127900,0.8407222914072229,Green,High
